Trimestre,Expectativas.de.contratación..eje.der..,Inversión.privada
2021-01-01,46.06666667,37.1395322
2021-04-01,47.43333333,162.7253208
2021-07-01,46.03333333,22.48849391
2021-10-01,47.6,2.463330724
2022-01-01,49.23333333,1.615019406
2022-04-01,48.4,1.564409764
2022-07-01,47.5,-0.538025164
2022-10-01,45.76666667,-4.093390308
2023-01-01,44.33333333,-12.01228783
2023-04-01,46.6,-8.26314926
2023-07-01,46.43333333,-6.170150663
2023-10-01,47.1,-4.109528428
