Trimestre,Utilidad neta,Inversión privada
2022-07-01,15.15336094,1.263870327
2022-10-01,-3.082126124,-0.425654321
2023-01-01,-29.96228563,-3.734018878
2023-04-01,-26.62852626,-6.199974768
2023-07-01,-15.9897174,-7.65322935
