Mes,Indicador,Valor
2017-03-01,Expectativas a 12 meses,2.9875
2017-06-01,Expectativas a 12 meses,2.8875
2017-09-01,Expectativas a 12 meses,2.80625
2017-12-01,Expectativas a 12 meses,2.3
2018-03-01,Expectativas a 12 meses,2.18125
2018-06-01,Expectativas a 12 meses,2.275
2018-09-01,Expectativas a 12 meses,2.4375
2018-12-01,Expectativas a 12 meses,2.5
2019-03-01,Expectativas a 12 meses,2.33
2019-06-01,Expectativas a 12 meses,2.475
2019-09-01,Expectativas a 12 meses,2.2125
2019-12-01,Expectativas a 12 meses,2.225
2020-03-01,Expectativas a 12 meses,2.01875
2020-06-01,Expectativas a 12 meses,1.4
2020-09-01,Expectativas a 12 meses,1.49375
2020-12-01,Expectativas a 12 meses,1.8475
2021-03-01,Expectativas a 12 meses,2.171875
2021-06-01,Expectativas a 12 meses,2.6
2021-09-01,Expectativas a 12 meses,3.6375
2021-12-01,Expectativas a 12 meses,3.675
2022-03-01,Expectativas a 12 meses,4.3875
2022-06-01,Expectativas a 12 meses,5.35
2022-09-01,Expectativas a 12 meses,4.89375
2022-12-01,Expectativas a 12 meses,4.3
2023-03-01,Expectativas a 12 meses,4.3
2023-06-01,Expectativas a 12 meses,3.825
2023-09-01,Expectativas a 12 meses,3.378125
2023-12-01,Expectativas a 12 meses,2.825
2024-03-01,Expectativas a 12 meses,2.645833333
