Fecha,Tipo,Visitantes
2018-11-01,Total,124010
2018-12-01,Total,97104
2019-01-01,Total,118578
2019-02-01,Total,82681
2019-03-01,Total,106836
2019-04-01,Total,138078
2019-05-01,Total,141962
2019-06-01,Total,132578
2019-07-01,Total,168055
2019-08-01,Total,173191
2019-09-01,Total,148845
2019-10-01,Total,149787
2019-11-01,Total,127030
2019-12-01,Total,97641
2020-01-01,Total,112238
2020-02-01,Total,87181
2020-03-01,Total,40879
2020-04-01,Total,0
2020-05-01,Total,0
2020-06-01,Total,0
2020-07-01,Total,0
2020-08-01,Total,0
2020-09-01,Total,0
2020-10-01,Total,0
2020-11-01,Total,11876
2020-12-01,Total,17402
2021-01-01,Total,24515
2021-02-01,Total,0
2021-03-01,Total,10578
2021-04-01,Total,11445
2021-05-01,Total,24242
2021-06-01,Total,29360
2021-07-01,Total,52077
2021-08-01,Total,62071
2021-09-01,Total,58872
2021-10-01,Total,70648
2021-11-01,Total,64339
2021-12-01,Total,52973
2022-01-01,Total,52014
2022-02-01,Total,38643
2022-03-01,Total,57932
2022-04-01,Total,78828
2022-05-01,Total,97064
2022-06-01,Total,101796
2022-07-01,Total,121392
2022-08-01,Total,131830
2022-09-01,Total,112436
2022-10-01,Total,115620
2022-11-01,Total,92619
2022-12-01,Total,38410
2023-01-01,Total,20074
2023-02-01,Total,12537
2023-03-01,Total,39718
2023-04-01,Total,72383
2023-05-01,Total,85404
2023-06-01,Total,89532
2023-07-01,Total,114376
2023-08-01,Total,114113
2023-09-01,Total,107207
