Trimestre,Región,Crecimiento
2017-04-01,Cusco,-5.762081784
2017-07-01,Cusco,-6.153846154
2017-10-01,Cusco,1.033973412
2018-01-01,Cusco,-3.20082602
2018-04-01,Cusco,4.585798817
2018-07-01,Cusco,2.168164992
2018-10-01,Cusco,-1.26705653
2019-01-01,Cusco,7.413333333
2019-04-01,Cusco,-2.640264026
2019-07-01,Cusco,3.881987578
2019-10-01,Cusco,-2.270483712
2020-01-01,Cusco,-9.781529295
2020-04-01,Cusco,-26.24697337
2020-07-01,Cusco,-11.21076233
2020-10-01,Cusco,-1.616161616
2021-01-01,Cusco,3.302146395
2021-04-01,Cusco,21.99606041
2021-07-01,Cusco,-0.056116723
2021-10-01,Cusco,4.209445585
2022-01-01,Cusco,5.114544486
2022-04-01,Cusco,10.1722282
2022-07-01,Cusco,0.449185851
2022-10-01,Cusco,4.088669951
2023-01-01,Cusco,-0.253421186
2023-04-01,Cusco,1.95407914
2023-07-01,Cusco,5.254332029
2017-01-01,Huancavelica,0.484261501
2017-04-01,Huancavelica,3.944485026
2017-07-01,Huancavelica,5.593869732
2017-10-01,Huancavelica,7.421875
2018-01-01,Huancavelica,10.04016064
2018-04-01,Huancavelica,4.708362614
2018-07-01,Huancavelica,2.104499274
2018-10-01,Huancavelica,4
2019-01-01,Huancavelica,-0.656934307
2019-04-01,Huancavelica,-0.805369128
2019-07-01,Huancavelica,0.852878465
2019-10-01,Huancavelica,0.909090909
2020-01-01,Huancavelica,0.146950771
2020-04-01,Huancavelica,-16.10284168
2020-07-01,Huancavelica,-5.496828753
2020-10-01,Huancavelica,-5.95980596
2021-01-01,Huancavelica,3.888481291
2021-04-01,Huancavelica,19.67741935
2021-07-01,Huancavelica,5.219985086
2021-10-01,Huancavelica,-1.547531319
2022-01-01,Huancavelica,-2.683615819
2022-04-01,Huancavelica,-0.336927224
2022-07-01,Huancavelica,-1.488306166
2022-10-01,Huancavelica,-0.523952096
2023-01-01,Huancavelica,-3.846153846
2023-04-01,Huancavelica,-1.21703854
2023-07-01,Huancavelica,0.431654676
2017-01-01,Huánuco,11.29980405
2017-04-01,Huánuco,8.848484848
2017-07-01,Huánuco,7.449344458
2017-10-01,Huánuco,9.006040637
2018-01-01,Huánuco,2.699530516
2018-04-01,Huánuco,2.505567929
2018-07-01,Huánuco,1.830282862
2018-10-01,Huánuco,4.937027708
2019-01-01,Huánuco,0.914285714
2019-04-01,Huánuco,1.683867463
2019-07-01,Huánuco,1.851851852
2019-10-01,Huánuco,0.432069131
2020-01-01,Huánuco,-1.132502831
2020-04-01,Huánuco,-22.75641026
2020-07-01,Huánuco,-11.44385027
2020-10-01,Huánuco,-6.405353728
2021-01-01,Huánuco,0.458190149
2021-04-01,Huánuco,26.27939142
2021-07-01,Huánuco,12.19806763
2021-10-01,Huánuco,2.962206333
2022-01-01,Huánuco,4.903078677
2022-04-01,Huánuco,4.545454545
2022-07-01,Huánuco,3.336921421
2022-10-01,Huánuco,0.64484127
2023-01-01,Huánuco,4.239130435
2023-04-01,Huánuco,6.600314301
2023-07-01,Huánuco,3.072916667
2017-01-01,Ica,5.238095238
2017-04-01,Ica,9.254947614
2017-07-01,Ica,3.147835863
2017-10-01,Ica,5.406911929
2018-01-01,Ica,4.35520362
2018-04-01,Ica,3.196590304
2018-07-01,Ica,4.577656676
2018-10-01,Ica,7.350608144
2019-01-01,Ica,2.7100271
2019-04-01,Ica,4.026845638
2019-07-01,Ica,4.95049505
2019-10-01,Ica,3.793103448
2020-01-01,Ica,-5.435356201
2020-04-01,Ica,-36.37717122
2020-07-01,Ica,-6.951340616
2020-10-01,Ica,2.325581395
2021-01-01,Ica,15.06696429
2021-04-01,Ica,62.32449298
2021-07-01,Ica,25.08004269
2021-10-01,Ica,12.29128015
2022-01-01,Ica,9.214354995
2022-04-01,Ica,12.30177799
2022-07-01,Ica,-2.431740614
2022-10-01,Ica,3.304419661
