Trimestre,Tipo,Valor
2022-01-01,Crece,11
2022-04-01,Crece,13
2022-07-01,Crece,12
2022-10-01,Crece,15
2023-01-01,Crece,3
2023-04-01,Crece,9
2023-07-01,Crece,4
2022-01-01,Cae,13
2022-04-01,Cae,11
2022-07-01,Cae,12
2022-10-01,Cae,9
2023-01-01,Cae,21
2023-04-01,Cae,15
2023-07-01,Cae,20
